two_theta_deg,intensity_syagrus_raw,intensity_typha_raw,syagrus_bgsub_norm,typha_bgsub_norm,syagrus_plot,typha_plot
5.003,10899,10962,0.1787781350482315,0.3319214478244128,0.3287781350482315,-0.3180785521755872
5.029,11025,10692,0.22540192926045016,0.22795533307662688,0.37540192926045013,-0.42204466692337317
5.055,10878,10650,0.17781350482315111,0.2117828263380824,0.3278135048231511,-0.4382171736619176
5.081,10983,10754,0.2112540192926045,0.25837504813246054,0.3612540192926045,-0.3916249518675395
5.107,10858,10754,0.1707395498392283,0.2656911821332307,0.32073954983922826,-0.38430881786676935
5.133,10920,10962,0.19035369774919614,0.34539853677319987,0.3403536977491961,-0.30460146322680015
5.159,10899,10650,0.1832797427652733,0.2248748556026184,0.3332797427652733,-0.4251251443973816
5.185,10774,10588,0.14276527331189712,0.2006160954948017,0.2927652733118971,-0.44938390450519833
5.211,10920,10712,0.1919614147909968,0.2510589141316904,0.3419614147909968,-0.3989410858683096
5.237,10899,10547,0.18520900321543407,0.18752406623026568,0.33520900321543406,-0.46247593376973434
5.263,10920,10445,0.1919614147909968,0.15209857527916826,0.3419614147909968,-0.49790142472083176
5.289,10712,10547,0.12508038585209003,0.1986907970735464,0.27508038585209005,-0.4513092029264536
5.315,10858,10733,0.17472668810289377,0.274547554871005,0.32472668810289373,-0.375452445128995
5.341,11025,10527,0.232475884244373,0.1979206777050443,0.38247588424437295,-0.45207932229495573
5.367,10816,10527,0.16527331189710612,0.2052368117058144,0.3152733118971061,-0.4447631882941856
5.393,10774,10650,0.1517684887459807,0.2522140931844436,0.3017684887459807,-0.3977859068155564
5.419,10650,10630,0.11189710610932475,0.24412783981517136,0.26189710610932476,-0.40587216018482863
5.445,10858,10774,0.1787781350482315,0.3057373892953408,0.3287781350482315,-0.34426261070465924
5.471,10795,10506,0.1585209003215434,0.2033115132845591,0.3085209003215434,-0.4466884867154409
5.497,10712,10486,0.13247588424437298,0.19522525991528686,0.282475884244373,-0.4547747400847132
5.523,10774,10404,0.16463022508038586,0.16326530612244897,0.31463022508038585,-0.4867346938775511
5.549,10795,10547,0.17138263665594855,0.2183288409703504,0.3213826366559486,-0.4316711590296496
5.575,10774,10568,0.16463022508038586,0.2333461686561417,0.31463022508038585,-0.41665383134385836
5.601,10774,10692,0.16463022508038586,0.2884097035040431,0.31463022508038585,-0.3615902964959569
5.627,10795,10568,0.1767845659163985,0.241817481709665,0.3267845659163985,-0.40818251829033503
5.653,10795,10712,0.17813504823151124,0.2972660762418175,0.32813504823151124,-0.3527339237581825
5.679,10899,10568,0.21157556270096464,0.24720831728917983,0.36157556270096464,-0.4027916827108202
5.705,10712,10527,0.15144694533762057,0.23873700423565652,0.30144694533762056,-0.4112629957643435
5.731,10712,10650,0.15144694533762057,0.2857142857142857,0.30144694533762056,-0.3642857142857143
5.757,10650,10568,0.13151125401929262,0.2537543319214478,0.2815112540192926,-0.3962456680785522
5.783,10692,10486,0.145016077170418,0.22564497497112052,0.295016077170418,-0.4243550250288795
5.809,10774,10527,0.17717041800643088,0.24143242202541393,0.3271704180064309,-0.4085675779745861
5.835,10878,10568,0.2202572347266881,0.25721986907970734,0.3702572347266881,-0.3927801309202927
5.861,10650,10527,0.14662379421221866,0.24412783981517136,0.2966237942122186,-0.40587216018482863
5.887,10650,10404,0.1508038585209003,0.20177127454755486,0.3008038585209003,-0.4482287254524452
5.913,10692,10465,0.16591639871382638,0.22525991528686948,0.3159163987138264,-0.4247400847131305
5.939,10733,10363,0.1787781350482315,0.18598382749326145,0.3287781350482315,-0.46401617250673854
5.965,10733,10363,0.18493569131832785,0.18598382749326145,0.33493569131832784,-0.46401617250673854
5.991,10568,10465,0.13762057877813505,0.22603003465537158,0.28762057877813507,-0.42396996534462844
6.017,10588,10527,0.1440514469453376,0.2572006160954951,0.2940514469453376,-0.3927993839045049
6.043,10568,10568,0.13762057877813505,0.2799383904505198,0.28762057877813507,-0.3700616095494802
6.069,10568,10630,0.13762057877813505,0.3038120908740855,0.28762057877813507,-0.3461879091259145
6.095,10630,10527,0.16334405144694533,0.27801309202926455,0.3133440514469453,-0.37198690797073547
6.121,10527,10363,0.13086816720257236,0.2164035425490951,0.28086816720257235,-0.4335964574509049
6.147,10506,10343,0.1292604501607717,0.20870234886407393,0.2792604501607717,-0.4412976511359261
6.173,10630,10486,0.1752411575562701,0.26376588371197535,0.3252411575562701,-0.3862341162880247
6.199,10692,10506,0.19485530546623794,0.27146707739699655,0.34485530546623794,-0.3785329226030035
6.225,10671,10343,0.190032154340836,0.20870234886407393,0.340032154340836,-0.4412976511359261
6.251,10630,10343,0.17684887459807075,0.21332306507508664,0.32684887459807077,-0.4366769349249134
6.277,10671,10445,0.19710610932475883,0.25567963034270313,0.3471061093247588,-0.3943203696572969
6.303,10733,10424,0.22282958199356914,0.2475933769734309,0.37282958199356914,-0.40240662302656915
6.329,10671,10343,0.20289389067524116,0.2164035425490951,0.35289389067524113,-0.4335964574509049
6.355,10527,10424,0.15659163987138264,0.2475933769734309,0.3065916398713826,-0.40240662302656915
6.381,10506,10384,0.14983922829581994,0.23488640739314592,0.29983922829581994,-0.4151135926068541
6.407,10527,10241,0.1585209003215434,0.18482864844050828,0.3085209003215434,-0.46517135155949174
6.433,10568,10363,0.1762057877813505,0.23180592991913745,0.32620578778135045,-0.41819407008086257
6.459,10568,10445,0.17749196141479098,0.2633808240277243,0.327491961414791,-0.38661917597227574
6.485,10465,10323,0.1495176848874598,0.21750096264921076,0.2995176848874598,-0.43249903735078926
6.511,10445,10343,0.14308681672025725,0.23142087023488642,0.29308681672025727,-0.4185791297651136
6.537,10465,10424,0.1495176848874598,0.2626107046592222,0.2995176848874598,-0.3873892953407778
6.563,10506,10323,0.16270096463022507,0.22371967654986524,0.31270096463022506,-0.4262803234501348
