Criado como novo conjunto de dados;Amostra 007 por Administrator data sexta-feira, julho 11 2025
cm-1;%T
3650,00;64,61
3649,00;64,50
3648,00;64,38
3647,00;64,26
3646,00;64,16
3645,00;64,06
3644,00;63,96
3643,00;63,87
3642,00;63,78
3641,00;63,68
3640,00;63,58
3639,00;63,47
3638,00;63,38
3637,00;63,28
3636,00;63,18
3635,00;63,08
3634,00;62,99
3633,00;62,89
3632,00;62,79
3631,00;62,68
3630,00;62,57
3629,00;62,47
3628,00;62,38
3627,00;62,28
3626,00;62,18
3625,00;62,09
3624,00;62,01
3623,00;61,93
3622,00;61,85
3621,00;61,76
3620,00;61,66
3619,00;61,57
3618,00;61,48
3617,00;61,39
3616,00;61,29
3615,00;61,20
3614,00;61,12
3613,00;61,04
3612,00;60,95
3611,00;60,86
3610,00;60,77
3609,00;60,68
3608,00;60,60
3607,00;60,52
3606,00;60,43
3605,00;60,35
3604,00;60,26
3603,00;60,18
3602,00;60,09
3601,00;60,01
3600,00;59,93
3599,00;59,84
3598,00;59,76
3597,00;59,68
3596,00;59,60
3595,00;59,52
3594,00;59,43
3593,00;59,35
3592,00;59,26
3591,00;59,17
3590,00;59,09
3589,00;59,00
3588,00;58,91
3587,00;58,82
3586,00;58,73
3585,00;58,65
3584,00;58,57
3583,00;58,50
3582,00;58,43
3581,00;58,36
3580,00;58,29
3579,00;58,21
3578,00;58,14
3577,00;58,06
3576,00;57,98
3575,00;57,90
3574,00;57,82
3573,00;57,74
3572,00;57,66
3571,00;57,58
3570,00;57,50
3569,00;57,42
3568,00;57,35
3567,00;57,29
3566,00;57,22
3565,00;57,15
3564,00;57,07
3563,00;57,00
3562,00;56,93
3561,00;56,86
3560,00;56,80
3559,00;56,74
3558,00;56,68
3557,00;56,62
3556,00;56,55
3555,00;56,49
3554,00;56,43
3553,00;56,37
3552,00;56,31
3551,00;56,25
3550,00;56,19
3549,00;56,14
3548,00;56,09
3547,00;56,04
3546,00;55,99
3545,00;55,95
3544,00;55,92
3543,00;55,88
3542,00;55,85
3541,00;55,82
3540,00;55,79
3539,00;55,76
3538,00;55,72
3537,00;55,67
3536,00;55,63
