,sum_sq,df,F,PR(>F),partial_eta_sq
"C(Species, Treatment(reference=""Typha domingensis""))",14.79444014004449,1.0,1.3872846158280867,0.24138329828706265,0.012343786226086187
"C(Treatment_Level, Treatment(reference=""0% NaOH""))",202.1321148260527,3.0,6.318021513680521,0.0005377102975508612,0.14585203323944954
"C(Species, Treatment(reference=""Typha domingensis"")):C(Treatment_Level, Treatment(reference=""0% NaOH""))",86.92480256715405,3.0,2.7169990932134946,0.048109110744478926,0.0684089723605969
Days_c,1341.9580084842846,1.0,125.83630624983873,5.569801948781191e-20,0.5313218578788926
"Days_c:C(Species, Treatment(reference=""Typha domingensis""))",571.5032905020324,1.0,53.59024845168729,4.162231465729707e-11,0.32559795586807083
"Days_c:C(Treatment_Level, Treatment(reference=""0% NaOH""))",33.681419915753786,3.0,1.0527764765246117,0.37228230143588303,0.02766621976123311
"Days_c:C(Species, Treatment(reference=""Typha domingensis"")):C(Treatment_Level, Treatment(reference=""0% NaOH""))",227.80242974860784,3.0,7.12039575333674,0.0002031970634478303,0.16138558214991164
Residual,1183.7389651760102,111.0,,,
