term,stat,df_constraint,pvalue_hc3
Intercept,[[71.51439626]],1,3.0192169872783673e-14
"C(Species, Treatment(reference=""Typha domingensis""))",[[27.76117505]],1,4.987859632780958e-07
"C(Treatment_Level, Treatment(reference=""Untreated""))",[[2.75151503]],2,0.06723657475401355
"C(Species, Treatment(reference=""Typha domingensis"")):C(Treatment_Level, Treatment(reference=""Untreated""))",[[9.07225522]],2,0.00019593700382094912
Days_c,[[1.25723411]],1,0.26406788063724834
"Days_c:C(Species, Treatment(reference=""Typha domingensis""))",[[9.91655519]],1,0.0019971941594518388
"Days_c:C(Treatment_Level, Treatment(reference=""Untreated""))",[[1.91243256]],2,0.15150606843370337
"Days_c:C(Species, Treatment(reference=""Typha domingensis"")):C(Treatment_Level, Treatment(reference=""Untreated""))",[[1.73667629]],2,0.17982400360184236
