x,y_norm_0_100,page_x,page_y
7.212080920986265,7.4410588126887385,74.1426010131836,291.3831787109375
7.2396243733230135,7.358671981829019,74.43659973144531,291.5771789550781
7.258080309038263,7.193055918976045,74.63359832763672,291.9671630859375
7.285623761375011,7.069041512102259,74.92759704589844,292.2591857910156
7.31316792847632,7.193055918976045,75.22160339355469,291.9671630859375
7.340805014970486,7.399871877267598,75.5166015625,291.48016357421875
7.368348467307234,7.523873324123945,75.81060028076172,291.18817138671875
7.395891919643982,7.606687835559152,76.10459899902344,290.9931640625
7.414347855359233,7.813076113275218,76.30159759521484,290.5071716308594
7.44189130769598,7.565487940120573,76.59559631347656,291.0901794433594
7.469435474797288,7.689074666418871,76.88960266113281,290.7991638183594
7.497072561291455,7.771876217836638,77.18460083007812,290.60418701171875
7.5246160136282025,7.482673428685366,77.47859954833984,291.2851867675781
